"Facility.ID","State","Name"
1482,"Texas","WHEELER STATE JAIL"
1483,"Texas","WICHITA COUNTY JAIL"
1484,"Texas","WILLACY JAIL"
1485,"Texas","WILLACY STATE JAIL"
1487,"Texas","WOODMAN UNIT"
1488,"Texas","WYNNE UNIT"
1489,"Texas","YOUNG"
1880,"Texas","ANGELINA COUNTY JAIL"
1881,"Texas","ARANSAS COUNTY JAIL"
1882,"Texas","BRAZORIA COUNTY JAIL"
1883,"Texas","BRAZOS COUNTY JAIL"
1884,"Texas","CARSON COUNTY JAIL"
1885,"Texas","COOKE COUNTY JAIL"
1886,"Texas","ELLIS COUNTY JAIL"
1887,"Texas","FRIO COUNTY JAIL"
1888,"Texas","HENDERSON COUNTY JAIL"
1889,"Texas","HOOD COUNTY JAIL"
1890,"Texas","HUNT COUNTY JAIL"
1891,"Texas","JACKSON COUNTY JAIL"
1892,"Texas","KAUFMAN COUNTY JAIL"
1893,"Texas","MCLENNAN COUNTY JAIL"
1894,"Texas","NUECES COUNTY JAIL"
1895,"Texas","POLK COUNTY JAIL"
1896,"Texas","RANDALL COUNTY JAIL"
1897,"Texas","ROCKWALL COUNTY JAIL"
1898,"Texas","SAN JACINTO COUNTY JAIL"
1899,"Texas","TOM GREEN COUNTY JAIL"
1900,"Texas","VICTORIA COUNTY JAIL"
1901,"Texas","WHARTON COUNTY JAIL"
1902,"Texas","WILLIAMSON COUNTY JAIL"
1903,"Texas","WISE COUNTY JAIL"
1962,"Texas","BOWIE COUNTY PRIVATE JAIL"
1963,"Texas","BROOKS COUNTY PRIVATE JAIL"
1964,"Texas","FANNIN COUNTY PRIVATE JAIL"
1965,"Texas","JEFFERSON COUNTY PRIVATE JAIL"
1966,"Texas","JOHNSON COUNTY PRIVATE JAIL"
1967,"Texas","KARNES COUNTY PRIVATE JAIL"
2032,"Texas","COMANCHE COUNTY JAIL"
2033,"Texas","HASKELL COUNTY JAIL"
2034,"Texas","NACOGDOCHES COUNTY JAIL"
2035,"Texas","LIBERTY COUNTY JAIL"
2103,"Texas","AUSTIN COUNTY JAIL"
2104,"Texas","BASTROP COUNTY JAIL"
2105,"Texas","BEE COUNTY JAIL"
2106,"Texas","BELL COUNTY JAIL"
2107,"Texas","BOWIE COUNTY JAIL"
2108,"Texas","BROOKS COUNTY JAIL"
2109,"Texas","BURNET COUNTY JAIL"
2110,"Texas","CALDWELL COUNTY JAIL"
2111,"Texas","CASS COUNTY JAIL"
2112,"Texas","CHAMBERS COUNTY JAIL"
2113,"Texas","COCHRAN COUNTY JAIL"
2114,"Texas","DAWSON COUNTY JAIL"
2115,"Texas","ERATH COUNTY JAIL"
2116,"Texas","GAINES COUNTY JAIL"
2117,"Texas","GALVESTON COUNTY JAIL"
2118,"Texas","HALE COUNTY JAIL"
2119,"Texas","HASKELL COUNTY PRIVATE JAIL"
2120,"Texas","HAYS COUNTY JAIL"
2121,"Texas","HILL COUNTY JAIL"
2122,"Texas","JIM WELLS COUNTY JAIL"
2123,"Texas","LAMB COUNTY JAIL"
2124,"Texas","LYNN COUNTY JAIL"
2125,"Texas","MATAGORDA COUNTY JAIL"
2126,"Texas","MCCULLOCH COUNTY JAIL"
2127,"Texas","MIDLAND COUNTY JAIL"
2128,"Texas","MONTAGUE COUNTY JAIL"
2129,"Texas","MORRIS COUNTY JAIL"
2130,"Texas","NOLAN COUNTY JAIL"
2131,"Texas","ORANGE COUNTY JAIL"
2132,"Texas","PARKER COUNTY PRIVATE JAIL"
2133,"Texas","POLK COUNTY PRIVATE JAIL"
2134,"Texas","RAINS COUNTY JAIL"
2135,"Texas","REEVES COUNTY JAIL"
2136,"Texas","REFUGIO COUNTY JAIL"
2137,"Texas","SAN SABA COUNTY JAIL"
2138,"Texas","SOMERVELL COUNTY JAIL"
2139,"Texas","STARR COUNTY JAIL"
2140,"Texas","STEPHENS COUNTY JAIL"
2141,"Texas","TAYLOR COUNTY JAIL"
2142,"Texas","TITUS COUNTY JAIL"
2143,"Texas","UVALDE COUNTY JAIL"
2144,"Texas","VAL VERDE COUNTY JAIL"
2145,"Texas","VAN ZANDT COUNTY JAIL"
2146,"Texas","WALKER COUNTY JAIL"
2147,"Texas","WARD COUNTY JAIL"
2148,"Texas","ZAPATA COUNTY JAIL"
2149,"Texas","ZAVALA COUNTY JAIL"
1779,"Texas","ICE BLUEBONNET DETENTION FACILITY"
1793,"Texas","ICE COASTAL BEND DETENTION FACILITY"
1797,"Texas","ICE EDEN DETENTION CENTER"
1798,"Texas","ICE EL PASO SERVICE PROCESSING CENTER"
1799,"Texas","ICE EL VALLE DETENTION FACILITY"
1814,"Texas","ICE HOUSTON CONTRACT DETENTION FACILITY"
1816,"Texas","ICE POLK COUNTY ADULT DETENTION FACILITY"
1820,"Texas","ICE JOE CORLEY DETENTION FACILITY"
1821,"Texas","ICE JOHNSON COUNTY CORRECTIONS CENTER"
1822,"Texas","ICE KARNES COUNTY RESIDENTIAL CENTER"
1827,"Texas","ICE LAREDO PROCESSING CENTER"
1831,"Texas","ICE LIMESTONE COUNTY DETENTION CENTER"
1839,"Texas","ICE MONTGOMERY PROCESSING CENTER"
1852,"Texas","ICE PORT ISABEL"
1853,"Texas","ICE PRAIRIELAND DETENTION FACILITY"
1856,"Texas","ICE RIO GRANDE DETENTION CENTER"
1859,"Texas","ICE ROLLING PLAINS DETENTION CENTER"
1865,"Texas","ICE SOUTH TEXAS FAMILY RESIDENTIAL CENTER"
1866,"Texas","ICE SOUTH TEXAS DETENTION COMPLEX"
1869,"Texas","ICE HUTTO CCA"
1873,"Texas","ICE WEBB COUNTY DETENTION CENTER CCA"
1985,"Texas","ICE LASALLE COUNTY REGIONAL DETENTION CENTER"
1994,"Texas","ICE KARNES COUNTY CORRECTIONAL CENTER"
2181,"Texas","ICE EL PASO COUNTY JAIL"
2304,"Texas","CLAY COUNTY JAIL"
2305,"Texas","WASHINGTON COUNTY JAIL"
2326,"Texas","ICE BEST WESTERN HOTEL - EL PASO"
2327,"Texas","ICE COMFORT SUITES - EL PASO"
2341,"Texas","BASTROP FEDERAL CORRECTIONAL INSTITUTION"
2342,"Texas","BEAUMONT FEDERAL CORRECTIONAL COMPLEX"
2347,"Texas","BIG SPRING FEDERAL CORRECTIONAL INSTITUTION"
2348,"Texas","BIG SPRING FLIGHTLINE CORRECTIONAL INSTITUTION"
2349,"Texas","BIG SPRING PRIVATE CORRECTIONAL INSTITUTION"
2351,"Texas","BRYAN FEDERAL PRISON CAMP"
2354,"Texas","CARSWELL FEDERAL MEDICAL CENTER"
2372,"Texas","FORT WORTH FEDERAL MEDICAL CENTER"
2373,"Texas","GILES W DALBY CORRECTIONAL INSTITUTION"
2376,"Texas","GRAND PRAIRIE OFFICE COMPLEX"
2383,"Texas","HOUSTON FEDERAL DETENTION CENTER"
2385,"Texas","LA TUNA FEDERAL CORRECTIONAL INSTITUTION"
2424,"Texas","REEVES CORRECTIONAL INSTITUTION I AND II"
2425,"Texas","REEVES CORRECTIONAL INSTITUTION III"
2431,"Texas","SEAGOVILLE FEDERAL CORRECTIONAL INSTITUTION"
2434,"Texas","SOUTH CENTRAL REGIONAL OFFICE"
2441,"Texas","TEXARKANA FEDERAL CORRECTIONAL INSTITUTION"
2443,"Texas","THREE RIVERS FEDERAL CORRECTIONAL INSTITUTION"
2458,"Texas","ICE LA QUINTA - PEARSALL HOUSE OF PEACE"
2470,"Texas","BAILEY COUNTY JAIL"
2471,"Texas","COLORADO COUNTY JAIL"
2472,"Texas","MADISON COUNTY JAIL"
2686,"Texas","AYRES HALFWAY HOUSE"
2687,"Texas","BEXAR COUNTY JUVENILE DETENTION CENTER"
2688,"Texas","EVINS REGIONAL JUVENILE DETENTION CENTER"
2689,"Texas","GAINESVILLE STATE SCHOOL"
2690,"Texas","GARDNER BETTS JUVENILE JUSTICE CENTER"
2691,"Texas","GIDDINGS STATE SCHOOL"
2692,"Texas","HARRIS COUNTY JUVENILE DETENTION CENTER"
2693,"Texas","JERRY J ESMOND JUVENILE JUSTICE CENTER"
2694,"Texas","JOHN R ROACH JUVENILE DETENTION CENTER"
2695,"Texas","MCLENNAN COUNTY STATE JUVENILE CORRECTIONAL FACILITY"
2696,"Texas","RON JACKSON STATE JUVENILE CORRECTIONAL COMPLEX"
2697,"Texas","STATEWIDE JUVENILE"
2721,"Texas","MAVERICK COUNTY JAIL"
2724,"Texas","CALHOUN COUNTY JAIL"
2725,"Texas","HOUSTON COUNTY JAIL"
2736,"Texas","HOWARD COUNTY JAIL"
2745,"Texas","BROWN COUNTY JAIL"
2746,"Texas","DELTA COUNTY JAIL"
2747,"Texas","ICE HOTEL AVA BY RAMADA - HOUSE OF TRANQUILITY"
2748,"Texas","ICE LA QUINTA - WYNDHAM"
2336,,
2039,,
619,,
1788,,
1805,,
1997,,
2021,,
2186,,
611,,
1771,,
1770,,
1671,,
1670,,
